x,y,z
12.084064,54.104193,15.0
12.084065,54.101238,18.0
12.083974,54.101107,18.3
12.083915,54.101035,18.4
12.084012,54.101722,17.4
12.083911,54.101602,17.5
12.083843,54.101797,17.5
12.084073,54.101798,17.3
12.084133,54.101929,17.1
12.084002,54.101991,17.1
12.084064,54.102087,16.8
12.083893,54.102928,16.6
12.083927,54.102843,16.6
12.084067,54.103054,16.6
12.084011,54.102986,16.6
12.083894,54.102971,16.6
12.084055,54.103286,16.4
12.084026,54.103251,16.4
12.084036,54.103552,16.2
12.084093,54.103463,16.3
12.083934,54.103975,15.4
12.083988,54.104050,15.3
12.083916,54.104243,14.9
12.084196,54.105603,12.4
12.084695,54.105749,12.2
12.084725,54.106112,12.0
12.084280,54.106097,11.8
12.083817,54.101524,17.7
12.083725,54.102661,16.7
12.083830,54.102752,16.7
12.083758,54.102733,16.6
12.083859,54.102826,16.6
12.083886,54.103363,16.2
12.083829,54.103287,16.3
12.083773,54.104265,14.8
12.083592,54.101216,18.2
12.083743,54.101397,17.8
12.083689,54.101331,18.0
12.083591,54.101511,17.8
12.083611,54.101535,17.9
12.083760,54.101733,17.6
12.083730,54.101696,17.7
12.083572,54.101668,17.8
12.083537,54.101638,17.9
12.083568,54.102425,16.5
12.083596,54.102466,16.6
12.083689,54.102640,16.7
12.083725,54.102926,16.5
12.083665,54.102855,16.5
12.083903,54.103114,16.5
12.083816,54.103051,16.5
12.083596,54.103893,15.3
12.083829,54.103854,15.5
12.083776,54.103780,15.6
12.083769,54.104049,15.0
12.083767,54.104212,14.8
12.083724,54.104361,14.6
12.083967,54.104448,14.4
12.083913,54.105959,11.9
12.083501,54.102575,16.5
12.083530,54.101137,18.3
12.083361,54.101216,18.4
12.083369,54.101306,18.3
12.083374,54.101364,18.3
12.083343,54.101260,18.4
12.083492,54.101418,18.1
12.083410,54.102111,17.1
12.083242,54.102310,16.5
12.083421,54.102536,16.4
12.083363,54.102470,16.3
12.083553,54.102727,16.6
12.083526,54.102670,16.5
12.083442,54.103466,15.9
12.083400,54.103413,15.9
12.083265,54.103516,15.7
12.083232,54.103476,15.7
12.083337,54.103609,15.6
12.083568,54.103671,15.7
12.083502,54.103627,15.7
12.083555,54.103870,15.2
12.083493,54.104291,14.6
12.083550,54.105876,12.0
12.083476,54.106531,10.0
12.083077,54.103205,16.1
12.083152,54.103312,16.0
12.083035,54.102015,17.5
12.083062,54.102062,17.4
12.083025,54.102264,17.0
12.083057,54.102304,16.9
12.082908,54.102979,16.4
12.083052,54.103173,16.2
12.083001,54.103108,16.2
12.082957,54.103068,16.3
12.083120,54.103263,16.0
12.083120,54.104182,14.4
12.083209,54.104307,14.5
12.083135,54.105410,12.8
12.082802,54.101383,18.7
12.082769,54.101781,18.1
12.082760,54.101913,17.8
12.082707,54.101868,17.9
12.082864,54.102123,17.5
12.082882,54.102058,17.5
12.082648,54.102680,16.8
12.082668,54.102722,16.8
12.082842,54.102913,16.5
12.082798,54.102873,16.6
12.082782,54.102806,16.7
12.082906,54.103310,16.0
12.083210,54.103606,15.5
12.082716,54.104242,14.5
